Subject_id,I1_duration,I2_direction,Response_result
3,1500,1,1
3,1500,-1,1
3,1500,-1,1
3,1500,1,1
3,1500,-1,1
3,1500,1,1
3,1500,-1,1
3,1500,1,1
3,1500,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,-1,0
3,2000,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,0
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,1,0
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,0
3,2000,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,0
3,2000,-1,0
3,2000,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,0
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,-1,1
3,2000,1,0
3,2000,1,0
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,1
3,2000,1,1
3,2000,-1,0
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2000,1,1
3,2500,1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,1,0
3,2500,-1,0
3,2500,-1,1
3,2500,-1,0
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,1,0
3,2500,1,1
3,2500,-1,0
3,2500,1,1
3,2500,1,1
3,2500,-1,0
3,2500,-1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,0
3,2500,1,1
3,2500,-1,0
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,0
3,2500,1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,0
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,-1,1
3,2500,1,1
3,2500,1,1
